Date,Title,URL
12 июля 2023,"Газпром. Растем, несмотря на дешевеющий газ",https://bcs-express.ru/tehanaliz/gazp/12.07.23
11 июля 2023,Газпром. Новая попытка роста,https://bcs-express.ru/tehanaliz/gazp/11.07.23
10 июля 2023,Газпром. Что может улучшить техническую картину,https://bcs-express.ru/tehanaliz/gazp/10.07.23
7 июля 2023,Газпром. Продолжится ли отскок,https://bcs-express.ru/tehanaliz/gazp/07.07.23
6 июля 2023,«Народный портфель». Второй месяц подряд слабее рынка,https://bcs-express.ru/novosti-i-analitika/narodnyi-portfel-vtoroi-mesiats-podriad-slabee-rynka
6 июля 2023,Газпром. Есть шансы на отскок,https://bcs-express.ru/tehanaliz/gazp/06.07.23
5 июля 2023,Газпром. Снижение продолжается,https://bcs-express.ru/tehanaliz/gazp/05.07.23
4 июля 2023,"Газпром. Цены на газ разочаровали, обороты снижаются",https://bcs-express.ru/tehanaliz/gazp/04.07.23
3 июля 2023,Газпром. Цены на газ не помогли продолжить рост,https://bcs-express.ru/tehanaliz/gazp/03.07.23
30 июня 2023,Газпром. Закрепиться на 170 с первого раза не удалось,https://bcs-express.ru/tehanaliz/gazp/30.06.23
29 июня 2023,"Газпром. Скачок котировок, как луч надежды",https://bcs-express.ru/tehanaliz/gazp/29.06.23
28 июня 2023,"Газпром. Акции отстают, но еще могут порадовать спекулянтов",https://bcs-express.ru/tehanaliz/gazp/28.06.23
27 июня 2023,Газпром. Попытки роста встречают сопротивление,https://bcs-express.ru/tehanaliz/gazp/27.06.23
26 июня 2023,Газпром. Где может найти поддержку,https://bcs-express.ru/tehanaliz/gazp/26.06.23
23 июня 2023,Газпром. Тренд сломлен,https://bcs-express.ru/tehanaliz/gazp/23.06.23
22 июня 2023,Газпром. Энергии для роста не хватает,https://bcs-express.ru/tehanaliz/gazp/22.06.23
21 июня 2023,Газпром. Копим силы перед движением,https://bcs-express.ru/tehanaliz/gazp/21.06.23
20 июня 2023,Газпром. Тренд все еще смотрит вверх,https://bcs-express.ru/tehanaliz/gazp/20.06.23
19 июня 2023,Газпром. Ложный пробой,https://bcs-express.ru/tehanaliz/gazp/19.06.23
16 июня 2023,Газпром. Где следующие цели,https://bcs-express.ru/tehanaliz/gazp/16.06.23
15 июня 2023,Газпром. Краткосрочно потенциал еще есть,https://bcs-express.ru/tehanaliz/gazp/15.06.23
14 июня 2023,Газпром. Цены на газ дают повод для оптимизма,https://bcs-express.ru/tehanaliz/gazp/14.06.23
13 июня 2023,Газпром. Ложный пробой,https://bcs-express.ru/tehanaliz/gazp/13.06.23
9 июня 2023,Газпром. Удастся ли преодолеть 167,https://bcs-express.ru/tehanaliz/gazp/09.06.23
8 июня 2023,Газпром. Лучше рынка,https://bcs-express.ru/tehanaliz/gazp/08.06.23
7 июня 2023,Газпром. Где может быть справедливый диапазон котировок,https://bcs-express.ru/tehanaliz/gazp/07.06.23
6 июня 2023,Газпром. Цены на газ +20%,https://bcs-express.ru/tehanaliz/gazp/06.06.23
5 июня 2023,Газпром. Еще есть потенциал для снижения,https://bcs-express.ru/tehanaliz/gazp/05.06.23
2 июня 2023,Газпром. Бумаги под давлением,https://bcs-express.ru/tehanaliz/gazp/02.06.23
1 июня 2023,Газпром. Цены на газ дали поддержку,https://bcs-express.ru/tehanaliz/gazp/01.06.23
31 мая 2023,Газпром. Давление на акцию сохраняется,https://bcs-express.ru/tehanaliz/gazp/31.05.23
30 мая 2023,Газпром. Продолжить рост не удалось,https://bcs-express.ru/tehanaliz/gazp/30.05.23
29 мая 2023,Газпром. В поисках нового торгового диапазона,https://bcs-express.ru/tehanaliz/gazp/29.05.23
26 мая 2023,Дивиденды Газпрома. Что было и что будет,https://bcs-express.ru/novosti-i-analitika/dividendy-gazproma-chto-bylo-i-chto-budet
26 мая 2023,Газпром. Падение замедляется,https://bcs-express.ru/tehanaliz/gazp/26.05.23
25 мая 2023,5 кандидатов на шорт в российских акциях,https://bcs-express.ru/novosti-i-analitika/5-kandidatov-na-short-v-rossiiskikh-aktsiiakh
25 мая 2023,Газпром. Потенциал для спуска еще есть,https://bcs-express.ru/tehanaliz/gazp/25.05.23
24 мая 2023,Газпром. Постдивидендное расстройство,https://bcs-express.ru/tehanaliz/gazp/24.05.23
23 мая 2023,Газпром отчитался за 2022 по МСФО,https://bcs-express.ru/novosti-i-analitika/gazprom-otchitalsia-za-2022-po-msfo
23 мая 2023,"Газпром. Поддержка есть, но все решат дивиденды",https://bcs-express.ru/tehanaliz/gazp/23.05.23
